ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty
410612000758,OR,43.865609,-117.608259,36620,2016-2017,2,41045,Malheur County
410627001084,OR,45.85073,-118.653564,25840,2016-2017,2,41059,Umatilla County
410630000677,OR,45.843264000000005,-119.26745100000001,25840,2016-2017,2,41059,Umatilla County
410630001093,OR,45.844824,-119.29882900000001,25840,2016-2017,2,41059,Umatilla County
410630001094,OR,45.844306,-119.287102,25840,2016-2017,2,41059,Umatilla County
410630001095,OR,45.837056000000004,-119.30027100000001,25840,2016-2017,2,41059,Umatilla County
410630001096,OR,45.826829000000004,-119.304347,25840,2016-2017,2,41059,Umatilla County
410630001097,OR,45.835913000000005,-119.292696,25840,2016-2017,2,41059,Umatilla County
410630001293,OR,45.836833,-119.270476,25840,2016-2017,2,41059,Umatilla County
410630001439,OR,45.830311,-119.30465500000001,25840,2016-2017,2,41059,Umatilla County
